aria,norm,outlier,life_min,min_block,compound_strat,rho,p_glob,n_blocchi
3.0,trim_gara,1.05,4,8,1,0.351587,0.000500,875
3.0,trim_gara,1.07,3,5,0,0.388601,0.000500,2448
3.0,trim_gara,1.07,3,5,1,0.349116,0.000500,2101
3.0,trim_gara,1.07,3,8,0,0.391144,0.000500,1831
3.0,trim_gara,1.07,3,8,1,0.363803,0.000500,926
3.0,trim_gara,1.07,4,5,0,0.377330,0.000500,2370
3.0,trim_gara,1.07,4,5,1,0.337441,0.000500,2006
3.0,trim_gara,1.07,4,8,0,0.379544,0.000500,1724
3.0,trim_gara,1.07,4,8,1,0.352452,0.000500,876
3.0,trim_gara,1.1,3,5,0,0.387678,0.000500,2449
3.0,trim_gara,1.1,3,5,1,0.348759,0.000500,2101
3.0,trim_gara,1.1,3,8,0,0.390464,0.000500,1831
3.0,trim_gara,1.1,3,8,1,0.363845,0.000500,926
3.0,trim_gara,1.1,4,5,0,0.376640,0.000500,2370
3.0,trim_gara,1.1,4,5,1,0.336661,0.000500,2007
3.0,trim_gara,1.1,4,8,0,0.378841,0.000500,1724
3.0,trim_gara,1.1,4,8,1,0.352541,0.000500,876
