gara,tipo,valore
Monaco,placebo,1.9325
Monaco,placebo,-0.7765
Monaco,placebo,-3.0895
Monaco,placebo,-2.8895
Monaco,placebo,0.7485
Monaco,placebo,0.2000
Monaco,placebo,1.0650
Monaco,placebo,-2.1015
Monaco,placebo,5.9040
Monaco,placebo,6.0830
Monaco,placebo,6.3810
Monaco,placebo,0.3100
Monaco,placebo,-0.5070
Monaco,placebo,-0.9470
Monaco,placebo,-2.5825
Monaco,placebo,-0.2000
Monaco,placebo,-2.3570
Monaco,placebo,1.1920
Monaco,placebo,-1.0850
Monaco,placebo,-0.7910
Monaco,placebo,-1.7110
Monaco,placebo,0.5130
Monaco,placebo,0.6030
Monaco,placebo,0.7030
Monaco,placebo,-4.0265
Monaco,placebo,-0.6465
Monaco,placebo,1.0780
Monaco,placebo,-1.0680
Monaco,placebo,-0.2180
Monaco,placebo,0.2290
Monaco,placebo,-2.7530
Monaco,placebo,2.0200
Monaco,placebo,-1.0580
Monaco,placebo,-0.5450
Monaco,placebo,-0.2510
Monaco,placebo,0.3420
Monaco,placebo,2.8455
Monaco,placebo,-0.1790
Monaco,placebo,-3.2580
Monaco,placebo,-1.6225
Monaco,placebo,1.0920
Monaco,placebo,-1.4460
Monaco,placebo,0.2565
Monaco,placebo,-2.2595
Monaco,placebo,0.7040
Monaco,placebo,-1.3460
Monaco,placebo,-1.0210
Monaco,placebo,0.1235
Monaco,placebo,2.7190
Monaco,placebo,-7.3460
Monaco,placebo,-0.8780
Monaco,placebo,-4.1530
Monaco,placebo,-2.3580
Monaco,placebo,-7.2300
Monaco,placebo,3.0390
Monaco,placebo,-0.9100
Monaco,placebo,3.3560
Monaco,placebo,-2.2210
Monaco,placebo,2.2980
Monaco,placebo,-0.9250
Monaco,placebo,-3.1860
Monaco,placebo,-2.6125
Monaco,placebo,0.9930
Monaco,placebo,-1.4720
Monaco,placebo,2.5370
Monaco,placebo,-2.7970
Monaco,placebo,1.0060
Monaco,placebo,0.3600
Monaco,placebo,-2.0560
Monaco,placebo,2.4120
Monaco,placebo,1.0040
Monaco,placebo,-0.3980
Monaco,placebo,-3.5100
Monaco,placebo,1.6360
Monaco,placebo,-1.4860
Monaco,placebo,-0.4440
Monaco,placebo,4.8880
Monaco,placebo,-1.9390
Monaco,placebo,-1.0600
Monaco,placebo,5.5560
Monaco,placebo,1.0040
Monaco,placebo,-0.3980
Monaco,placebo,-3.5100
Monaco,placebo,1.6360
Monaco,placebo,-1.4860
Monaco,placebo,-0.4440
Monaco,placebo,4.8880
Monaco,placebo,-1.9390
Monaco,placebo,-1.0600
Monaco,placebo,5.5560
Monaco,placebo,1.4190
Monaco,placebo,-0.2920
Monaco,placebo,3.7325
Monaco,placebo,0.1090
Monaco,placebo,-0.9640
Monaco,placebo,4.9570
Monaco,placebo,-0.2700
Monaco,placebo,-1.7030
Monaco,placebo,4.7690
