pop,gara,drv,L,residuo_reinfl,dentro_pitwindow
ctrl,Australia,LIN,46,1.6762,0
ctrl,Australia,LIN,47,1.7590,0
ctrl,Australia,LIN,48,1.6927,0
ctrl,Australia,LIN,49,1.3752,0
ctrl,Australia,LIN,5,-1.7288,0
ctrl,Australia,LIN,50,1.9527,0
ctrl,Australia,LIN,51,3.7495,0
ctrl,Australia,LIN,52,6.7293,0
ctrl,Australia,LIN,53,5.0963,0
ctrl,Australia,LIN,6,-1.5427,0
ctrl,Australia,LIN,7,-1.0815,0
ctrl,Australia,LIN,8,-0.0965,0
ctrl,Australia,NOR,21,-0.3409,1
ctrl,Australia,NOR,22,-0.5056,1
ctrl,Australia,NOR,23,-0.3288,1
ctrl,Australia,NOR,24,-0.1089,1
ctrl,Australia,NOR,25,0.4223,1
ctrl,Australia,NOR,26,1.1946,1
ctrl,Australia,NOR,27,1.4502,1
ctrl,Australia,NOR,28,1.4429,1
ctrl,Australia,NOR,29,1.4529,1
ctrl,Australia,NOR,3,-2.9994,0
ctrl,Australia,NOR,38,-0.7131,0
ctrl,Australia,NOR,39,0.5983,0
ctrl,Australia,NOR,4,-3.2877,0
ctrl,Australia,NOR,40,0.6251,0
ctrl,Australia,NOR,41,0.1751,0
ctrl,Australia,NOR,42,0.0461,0
ctrl,Australia,NOR,43,-0.2947,0
ctrl,Australia,NOR,44,-0.4348,0
ctrl,Australia,NOR,45,-0.4375,0
ctrl,Australia,NOR,46,-0.2871,0
ctrl,Australia,NOR,47,-0.0802,0
ctrl,Australia,NOR,48,-0.1838,0
ctrl,Australia,NOR,49,-0.2391,0
ctrl,Australia,NOR,5,-3.3499,0
ctrl,Australia,NOR,50,-0.0674,0
ctrl,Australia,NOR,51,-0.1773,0
ctrl,Australia,NOR,52,-0.0886,0
ctrl,Australia,NOR,53,0.5506,0
ctrl,Australia,NOR,54,0.6743,0
ctrl,Australia,NOR,55,1.2796,0
ctrl,Australia,NOR,6,-2.0292,0
ctrl,Australia,OCO,21,-1.0543,1
ctrl,Australia,OCO,22,-0.1791,1
ctrl,Australia,OCO,23,-0.1800,1
ctrl,Australia,OCO,24,-0.7572,1
ctrl,Australia,OCO,25,-0.1551,1
ctrl,Australia,OCO,26,0.1111,1
ctrl,Australia,OCO,27,0.1209,1
ctrl,Australia,OCO,28,0.4162,1
ctrl,Australia,OCO,29,1.0453,1
ctrl,Australia,OCO,3,-1.4354,0
ctrl,Australia,OCO,35,1.7293,1
ctrl,Australia,OCO,36,3.7753,1
ctrl,Australia,OCO,37,4.1024,0
ctrl,Australia,OCO,38,2.4394,0
ctrl,Australia,OCO,39,1.7185,0
ctrl,Australia,OCO,4,-1.5197,0
ctrl,Australia,OCO,40,1.5141,0
ctrl,Australia,OCO,41,1.3913,0
ctrl,Australia,OCO,42,2.6746,0
ctrl,Australia,OCO,43,2.8705,0
ctrl,Australia,OCO,44,2.7556,0
ctrl,Australia,OCO,5,-2.8048,0
ctrl,Australia,OCO,6,-2.8969,0
ctrl,Australia,PER,3,-2.0204,0
ctrl,Australia,PER,4,-0.9267,0
ctrl,Australia,PER,5,-0.6748,0
ctrl,Australia,PER,6,-0.9479,0
ctrl,Australia,PER,7,-1.3850,0
ctrl,Australia,PER,8,-0.6085,0
ctrl,Australia,RUS,21,0.5464,1
ctrl,Australia,RUS,22,1.2182,1
ctrl,Australia,RUS,23,1.3671,1
ctrl,Australia,RUS,24,0.8361,1
ctrl,Australia,RUS,25,0.9871,1
ctrl,Australia,RUS,26,-0.1712,1
ctrl,Australia,RUS,27,0.1807,1
ctrl,Australia,RUS,28,1.6077,1
ctrl,Australia,RUS,29,1.2300,1
ctrl,Australia,RUS,3,-3.9268,0
ctrl,Australia,RUS,35,0.0519,1
ctrl,Australia,RUS,36,0.3992,1
ctrl,Australia,RUS,37,0.2853,0
ctrl,Australia,RUS,38,0.3244,0
ctrl,Australia,RUS,39,0.7198,0
ctrl,Australia,RUS,4,-2.6987,0
ctrl,Australia,RUS,40,0.9192,0
ctrl,Australia,RUS,41,0.8403,0
ctrl,Australia,RUS,42,0.7434,0
ctrl,Australia,RUS,43,1.4284,0
ctrl,Australia,RUS,44,2.4244,0
ctrl,Australia,RUS,45,2.0154,0
ctrl,Australia,RUS,46,1.3333,0
ctrl,Australia,RUS,47,1.2442,0
ctrl,Australia,RUS,48,1.3970,0
ctrl,Australia,RUS,49,1.4173,0
ctrl,Australia,RUS,5,-1.8059,0
ctrl,Australia,RUS,50,1.5386,0
ctrl,Australia,RUS,51,1.9392,0
ctrl,Australia,RUS,52,2.0269,0
ctrl,Australia,RUS,53,1.5857,0
ctrl,Australia,RUS,54,1.2004,0
ctrl,Australia,RUS,55,1.8199,0
ctrl,Australia,RUS,6,-0.6757,0
ctrl,Australia,RUS,7,1.7826,0
ctrl,Australia,SAI,21,0.9722,1
ctrl,Australia,SAI,22,1.6744,1
ctrl,Australia,SAI,23,1.9017,1
ctrl,Australia,SAI,24,2.0440,1
ctrl,Australia,SAI,25,2.0827,1
ctrl,Australia,SAI,26,2.7744,1
ctrl,Australia,SAI,27,4.7901,1
ctrl,Australia,SAI,28,5.1799,1
ctrl,Australia,SAI,3,-1.3038,0
ctrl,Australia,SAI,4,-1.3797,0
ctrl,Australia,SAI,5,-3.1379,0
ctrl,Australia,SAI,6,-3.9462,0
ctrl,Australia,STR,3,-3.7814,0
ctrl,Australia,STR,4,-2.6737,0
ctrl,Australia,STR,5,-1.8869,0
ctrl,Australia,STR,6,-1.2312,0
ctrl,Australia,VER,22,0.2181,1
ctrl,Australia,VER,23,0.3378,1
ctrl,Australia,VER,24,0.3105,1
ctrl,Australia,VER,25,0.5165,1
ctrl,Australia,VER,26,0.6365,1
ctrl,Australia,VER,27,0.4368,1
ctrl,Australia,VER,28,0.4651,1
ctrl,Australia,VER,29,0.6340,1
ctrl,Australia,VER,3,-4.4648,0
ctrl,Australia,VER,35,1.5953,1
ctrl,Australia,VER,36,1.6160,1
ctrl,Australia,VER,4,-5.4757,0
ctrl,Australia,VER,45,-0.8245,0
ctrl,Australia,VER,46,-0.6231,0
ctrl,Australia,VER,47,0.0078,0
ctrl,Australia,VER,48,-0.0738,0
ctrl,Australia,VER,49,-0.1721,0
ctrl,Australia,VER,5,-3.5728,0
ctrl,Australia,VER,50,-0.0764,0
ctrl,Australia,VER,51,0.4727,0
ctrl,Australia,VER,52,0.9564,0
ctrl,Australia,VER,53,1.1886,0
ctrl,Australia,VER,54,1.4092,0
ctrl,Australia,VER,55,1.7670,0
ctrl,Australia,VER,6,-2.9579,0
ctrl,Australia,VER,7,-2.8985,0
ctrl,Australia,VER,8,-1.9283,0
ctrl,Austria,ALB,10,2.3598,0
ctrl,Austria,ALB,11,1.4713,0
ctrl,Austria,ALB,12,1.0928,0
ctrl,Austria,ALB,13,0.8764,1
ctrl,Austria,ALB,27,-0.1327,1
ctrl,Austria,ALB,28,0.7538,1
ctrl,Austria,ALB,29,2.1390,1
ctrl,Austria,ALB,30,2.6988,1
ctrl,Austria,ALB,4,0.5473,0
ctrl,Austria,ALB,5,0.7523,0
ctrl,Austria,ALB,6,0.8143,0
ctrl,Austria,ALB,7,1.4743,0
ctrl,Austria,ALB,8,1.7243,0
ctrl,Austria,ALB,9,2.3140,0
ctrl,Austria,ALO,10,1.3858,0
ctrl,Austria,ALO,11,1.5273,0
ctrl,Austria,ALO,12,1.8318,0
ctrl,Austria,ALO,13,1.4431,1
ctrl,Austria,ALO,14,1.0343,1
ctrl,Austria,ALO,15,1.5546,1
ctrl,Austria,ALO,16,1.4669,1
ctrl,Austria,ALO,17,0.9423,1
ctrl,Austria,ALO,18,1.3508,1
ctrl,Austria,ALO,19,1.3268,1
ctrl,Austria,ALO,4,-0.7902,0
ctrl,Austria,ALO,5,0.0620,0
ctrl,Austria,ALO,6,0.5748,0
ctrl,Austria,ALO,7,0.7350,0
ctrl,Austria,ALO,8,1.0673,0
ctrl,Austria,ALO,9,1.4065,0
ctrl,Austria,ANT,10,2.0433,0
ctrl,Austria,ANT,11,1.6340,0
ctrl,Austria,ANT,12,1.2293,0
ctrl,Austria,ANT,13,1.3168,1
ctrl,Austria,ANT,14,1.3803,1
ctrl,Austria,ANT,15,0.8401,1
ctrl,Austria,ANT,16,0.7518,1
ctrl,Austria,ANT,17,0.6545,1
ctrl,Austria,ANT,18,1.1583,1
ctrl,Austria,ANT,19,1.4843,1
ctrl,Austria,ANT,29,-0.7912,1
ctrl,Austria,ANT,30,0.1793,1
ctrl,Austria,ANT,31,0.1883,1
ctrl,Austria,ANT,32,0.3948,1
ctrl,Austria,ANT,33,0.4703,1
ctrl,Austria,ANT,34,0.3010,1
ctrl,Austria,ANT,35,0.1918,1
ctrl,Austria,ANT,36,0.5888,1
ctrl,Austria,ANT,37,0.9678,1
ctrl,Austria,ANT,38,2.0375,1
ctrl,Austria,ANT,39,2.5903,1
ctrl,Austria,ANT,4,-0.4717,0
ctrl,Austria,ANT,40,1.5713,1
ctrl,Austria,ANT,41,1.2043,1
ctrl,Austria,ANT,42,1.4556,1
ctrl,Austria,ANT,43,1.6248,1
ctrl,Austria,ANT,44,1.6858,1
ctrl,Austria,ANT,45,1.6818,1
ctrl,Austria,ANT,46,1.4541,0
ctrl,Austria,ANT,5,0.3673,0
ctrl,Austria,ANT,56,0.4253,0
ctrl,Austria,ANT,57,0.3855,0
ctrl,Austria,ANT,58,0.2008,0
ctrl,Austria,ANT,59,0.2825,0
ctrl,Austria,ANT,6,0.3268,0
ctrl,Austria,ANT,60,0.7973,0
ctrl,Austria,ANT,61,1.4793,0
ctrl,Austria,ANT,62,1.5553,0
ctrl,Austria,ANT,63,1.1810,0
ctrl,Austria,ANT,64,1.0548,0
ctrl,Austria,ANT,65,1.4370,0
ctrl,Austria,ANT,66,1.2453,0
ctrl,Austria,ANT,67,0.6426,0
ctrl,Austria,ANT,68,0.4522,0
ctrl,Austria,ANT,7,-0.0840,0
ctrl,Austria,ANT,8,0.5798,0
ctrl,Austria,ANT,9,1.4335,0
ctrl,Austria,BEA,10,2.3548,0
ctrl,Austria,BEA,11,2.0390,0
ctrl,Austria,BEA,12,1.9343,0
ctrl,Austria,BEA,13,1.5938,1
ctrl,Austria,BEA,14,0.8458,1
ctrl,Austria,BEA,15,0.3751,1
ctrl,Austria,BEA,16,0.8293,1
ctrl,Austria,BEA,17,0.9296,1
ctrl,Austria,BEA,18,1.5288,1
ctrl,Austria,BEA,19,1.7220,1
ctrl,Austria,BEA,29,0.2868,1
ctrl,Austria,BEA,30,0.3485,1
ctrl,Austria,BEA,31,0.5213,1
ctrl,Austria,BEA,32,0.6233,1
ctrl,Austria,BEA,33,0.5533,1
ctrl,Austria,BEA,34,0.8063,1
ctrl,Austria,BEA,35,3.9013,1
ctrl,Austria,BEA,36,4.6330,1
ctrl,Austria,BEA,4,0.3658,0
ctrl,Austria,BEA,5,0.7170,0
ctrl,Austria,BEA,6,1.1533,0
ctrl,Austria,BEA,7,1.6155,0
