circuito,stagione,round,durata_s
Gran Bretagna,2024,12,32.801
Gran Bretagna,2024,12,29.125
Gran Bretagna,2024,12,29.541
Gran Bretagna,2024,12,29.233
Gran Bretagna,2024,12,32.313
Gran Bretagna,2024,12,29.884
Gran Bretagna,2024,12,29.873
Gran Bretagna,2024,12,31.527
Gran Bretagna,2024,12,30.038
Gran Bretagna,2024,12,29.076
Gran Bretagna,2024,12,29.200
Gran Bretagna,2024,12,29.166
Gran Bretagna,2024,12,29.300
Gran Bretagna,2024,12,29.686
Gran Bretagna,2024,12,29.658
Gran Bretagna,2024,12,29.410
Gran Bretagna,2024,12,29.444
Gran Bretagna,2024,12,30.387
Gran Bretagna,2024,12,33.083
Gran Bretagna,2024,12,29.097
Gran Bretagna,2024,12,30.265
Gran Bretagna,2024,12,29.469
Gran Bretagna,2024,12,29.086
Gran Bretagna,2024,12,28.871
Gran Bretagna,2024,12,28.706
Gran Bretagna,2025,12,28.721
Gran Bretagna,2025,12,29.125
Gran Bretagna,2025,12,29.736
Gran Bretagna,2025,12,28.707
Gran Bretagna,2025,12,28.853
Gran Bretagna,2025,12,28.647
Gran Bretagna,2025,12,29.089
Gran Bretagna,2025,12,28.523
Gran Bretagna,2025,12,29.201
Gran Bretagna,2025,12,29.491
Gran Bretagna,2025,12,30.630
Gran Bretagna,2025,12,28.182
Gran Bretagna,2025,12,28.917
Gran Bretagna,2025,12,28.912
Gran Bretagna,2025,12,28.707
Gran Bretagna,2025,12,29.554
Gran Bretagna,2025,12,28.544
Gran Bretagna,2025,12,29.251
Gran Bretagna,2025,12,29.562
Gran Bretagna,2025,12,29.728
Gran Bretagna,2025,12,28.534
Gran Bretagna,2025,12,28.205
Gran Bretagna,2025,12,29.127
Gran Bretagna,2025,12,28.553
Gran Bretagna,2025,12,29.689
Gran Bretagna,2025,12,28.469
Gran Bretagna,2025,12,28.655
Gran Bretagna,2025,12,29.090
Gran Bretagna,2025,12,40.145
Gran Bretagna,2025,12,29.952
Gran Bretagna,2025,12,28.840
Gran Bretagna,2025,12,29.292
Gran Bretagna,2025,12,28.646
Gran Bretagna,2025,12,40.280
Gran Bretagna,2025,12,28.214
Gran Bretagna,2026,9,44.179
Gran Bretagna,2026,9,40.553
Gran Bretagna,2026,9,41.291
Gran Bretagna,2026,9,28.979
Gran Bretagna,2026,9,28.738
Gran Bretagna,2026,9,28.734
Gran Bretagna,2026,9,29.972
Gran Bretagna,2026,9,28.732
Gran Bretagna,2026,9,28.894
Gran Bretagna,2026,9,43.253
Gran Bretagna,2026,9,29.374
Gran Bretagna,2026,9,29.360
Gran Bretagna,2026,9,39.601
Gran Bretagna,2026,9,33.608
Gran Bretagna,2026,9,34.864
Gran Bretagna,2026,9,28.663
Gran Bretagna,2026,9,28.444
Gran Bretagna,2026,9,28.662
Gran Bretagna,2026,9,28.974
Gran Bretagna,2026,9,28.746
Gran Bretagna,2026,9,28.833
Gran Bretagna,2026,9,29.971
Gran Bretagna,2026,9,31.599
Gran Bretagna,2026,9,35.858
Gran Bretagna,2026,9,28.337
Gran Bretagna,2026,9,31.474
Gran Bretagna,2026,9,28.948
Gran Bretagna,2026,9,29.515
Gran Bretagna,2026,9,36.408
Gran Bretagna,2026,9,28.950
Gran Bretagna,2026,9,29.818
Gran Bretagna,2026,9,32.582
Gran Bretagna,2026,9,41.215
Gran Bretagna,2026,9,33.650
Gran Bretagna,2026,9,29.964
Gran Bretagna,2026,9,29.584
Gran Bretagna,2026,9,29.866
Gran Bretagna,2026,9,46.234
Gran Bretagna,2026,9,32.143
Gran Bretagna,2026,9,30.274
Gran Bretagna,2026,9,29.926
Gran Bretagna,2026,9,29.461
Gran Bretagna,2026,9,29.672
Gran Bretagna,2026,9,28.577
Gran Bretagna,2026,9,31.212
Gran Bretagna,2026,9,29.081
Gran Bretagna,2026,9,28.737
Gran Bretagna,2026,9,28.732
Gran Bretagna,2026,9,28.887
Gran Bretagna,2026,9,28.475
Gran Bretagna,2026,9,29.219
Miami,2023,5,48.938
Miami,2023,5,24.090
Miami,2023,5,22.205
Miami,2023,5,22.616
Miami,2023,5,22.417
Miami,2023,5,23.158
Miami,2023,5,23.487
Miami,2023,5,22.335
Miami,2023,5,22.068
Miami,2023,5,22.278
Miami,2023,5,21.884
Miami,2023,5,22.482
Miami,2023,5,22.631
Miami,2023,5,22.796
Miami,2023,5,23.120
Miami,2023,5,22.390
Miami,2023,5,22.150
Miami,2023,5,21.942
Miami,2023,5,22.651
Miami,2023,5,22.688
Miami,2024,6,22.828
Miami,2024,6,23.038
Miami,2024,6,22.611
Miami,2024,6,23.730
Miami,2024,6,23.055
