circuito,stagione,round,durata_s
Canada,2025,10,18.245
Canada,2025,10,18.196
Canada,2025,10,18.276
Canada,2025,10,18.284
Canada,2025,10,18.257
Canada,2025,10,18.240
Canada,2025,10,18.195
Canada,2025,10,18.243
Canada,2025,10,18.212
Canada,2025,10,18.273
Canada,2025,10,18.225
Canada,2025,10,18.244
Canada,2025,10,18.228
Canada,2025,10,18.306
Canada,2026,5,24.121
Canada,2026,5,28.178
Canada,2026,5,24.952
Canada,2026,5,23.418
Canada,2026,5,25.737
Canada,2026,5,24.751
Canada,2026,5,28.257
Canada,2026,5,24.847
Canada,2026,5,36.627
Canada,2026,5,24.249
Canada,2026,5,28.859
Canada,2026,5,25.153
Canada,2026,5,24.833
Canada,2026,5,24.766
Canada,2026,5,24.709
Canada,2026,5,31.024
Canada,2026,5,24.413
Canada,2026,5,24.984
Canada,2026,5,44.957
Canada,2026,5,25.640
Canada,2026,5,25.644
Canada,2026,5,24.177
Canada,2026,5,35.351
Canada,2026,5,25.636
Canada,2026,5,25.153
Canada,2026,5,24.902
Canada,2026,5,25.936
Canada,2026,5,30.114
Canada,2026,5,25.199
Canada,2026,5,31.102
Canada,2026,5,24.146
Canada,2026,5,36.103
Canada,2026,5,34.713
Canada,2026,5,34.809
Cina,2024,5,23.004
Cina,2024,5,23.160
Cina,2024,5,23.362
Cina,2024,5,23.823
Cina,2024,5,22.949
Cina,2024,5,23.156
Cina,2024,5,23.273
Cina,2024,5,22.518
Cina,2024,5,23.049
Cina,2024,5,22.415
Cina,2024,5,39.712
Cina,2024,5,23.229
Cina,2024,5,22.456
Cina,2024,5,22.027
Cina,2024,5,22.598
Cina,2024,5,22.673
Cina,2024,5,22.629
Cina,2024,5,22.974
Cina,2024,5,22.360
Cina,2024,5,22.911
Cina,2024,5,22.662
Cina,2024,5,22.161
Cina,2024,5,22.270
Cina,2024,5,22.371
Cina,2024,5,22.687
Cina,2024,5,22.707
Cina,2024,5,23.336
Cina,2024,5,23.208
Cina,2024,5,22.387
Cina,2024,5,23.600
Cina,2024,5,25.610
Cina,2024,5,23.987
Cina,2024,5,22.262
Cina,2024,5,22.684
Cina,2024,5,93.274
Cina,2024,5,25.727
Cina,2024,5,34.777
Cina,2024,5,22.836
Cina,2024,5,23.252
Cina,2024,5,23.179
Cina,2025,2,23.385
Cina,2025,2,23.138
Cina,2025,2,22.519
Cina,2025,2,23.114
Cina,2025,2,22.793
Cina,2025,2,22.675
Cina,2025,2,22.896
