gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Miami,SAI,3,27,28,HARD,22.63,-1.4581,0.0959,-0.2591,1
Miami,SAI,5,27,28,HARD,22.63,-2.1332,0.0959,-0.2591,1
Miami,STR,1,20,21,SOFT,22.63,0.4745,26.1513,1.5065,0
Miami,STR,1,36,37,SOFT,22.63,-0.5383,27.9658,1.8075,0
Miami,STR,3,20,21,SOFT,22.63,4.1381,26.5356,1.5065,1
Miami,STR,3,36,37,SOFT,22.63,1.0525,28.3857,1.8075,0
Miami,STR,5,20,21,SOFT,22.63,7.2156,26.9199,1.5065,1
Miami,STR,5,36,37,SOFT,22.63,3.0412,28.8055,1.8075,1
Monaco,ALB,1,42,43,SOFT,24.8,2.4919,0.9855,0.2187,0
Monaco,ALB,3,42,43,SOFT,24.8,13.6214,0.9855,0.2187,1
Monaco,ALB,5,42,43,SOFT,24.8,21.9598,0.9855,0.2187,1
Monaco,ANT,1,36,37,HARD,24.8,1.6351,,-2.0237,0
Monaco,ANT,3,36,37,HARD,24.8,5.8242,,-2.0237,0
Monaco,ANT,5,36,37,HARD,24.8,8.8582,,-2.0237,0
Monaco,BOR,1,42,43,MEDIUM,24.8,-1.0178,26.6659,1.1921,0
Monaco,BOR,3,42,43,MEDIUM,24.8,-2.7967,27.7108,1.1921,0
Monaco,BOR,5,42,43,MEDIUM,24.8,-4.7525,28.7558,1.1921,0
Monaco,COL,1,34,35,HARD,24.8,2.5272,23.0310,0.2727,1
Monaco,COL,3,34,35,HARD,24.8,2.8525,23.1297,0.2727,1
Monaco,COL,5,34,35,HARD,24.8,8.0547,23.2284,0.2727,1
Monaco,GAS,1,44,45,HARD,24.8,3.2300,17.9238,-0.3590,1
Monaco,GAS,3,44,45,HARD,24.8,7.3210,17.2059,-0.3590,0
Monaco,GAS,5,44,45,HARD,24.8,14.1660,16.4880,-0.3590,0
Monaco,HAD,1,31,32,HARD,24.8,4.0791,2.6223,-0.4168,1
Monaco,HAD,3,31,32,HARD,24.8,8.4262,1.7886,-0.4168,1
Monaco,HAD,5,31,32,HARD,24.8,11.1934,1.3718,-0.4168,1
Monaco,HAM,1,27,28,HARD,24.8,0.8333,21.5708,-1.8715,1
Monaco,HAM,3,27,28,HARD,24.8,5.6786,21.2335,-1.8715,1
Monaco,HAM,5,27,28,HARD,24.8,9.5249,20.8963,-1.8715,1
Monaco,HUL,1,11,12,HARD,24.8,-3.9643,22.6206,0.5298,1
Monaco,HUL,3,11,12,HARD,24.8,-5.3266,22.3372,0.5298,1
Monaco,HUL,5,11,12,HARD,24.8,-6.4169,22.0538,0.5298,1
Monaco,LAW,1,43,44,SOFT,24.8,3.8818,38.4135,0.0000,1
Monaco,LAW,3,43,44,SOFT,24.8,7.1225,39.7409,0.0000,1
Monaco,LAW,5,43,44,SOFT,24.8,9.2223,40.5995,0.0000,1
Monaco,LEC,1,34,35,HARD,24.8,5.2439,11.4715,-1.7586,1
Monaco,LEC,3,34,35,HARD,24.8,9.8858,11.5721,-1.7586,1
Monaco,LEC,5,34,35,HARD,24.8,13.1368,11.6726,-1.7586,1
Monaco,OCO,1,8,9,HARD,24.8,-0.0982,2.5317,0.3767,0
Monaco,OCO,3,8,9,HARD,24.8,0.8206,3.3753,0.3767,1
Monaco,OCO,5,8,9,HARD,24.8,1.7445,4.2189,0.3767,1
Monaco,PER,1,3,4,MEDIUM,24.8,0.2131,17.6210,0.7890,1
Monaco,PER,1,8,9,MEDIUM,24.8,-3.0195,3.3078,-0.8051,1
Monaco,PER,3,3,4,MEDIUM,24.8,0.5422,16.4650,0.7890,1
Monaco,PER,3,8,9,MEDIUM,24.8,2.7975,0.6662,-0.8051,1
Monaco,PER,5,8,9,MEDIUM,24.8,4.3208,0.6662,-0.8051,1
Monaco,PIA,1,47,48,HARD,24.8,2.4752,16.0255,-0.5600,1
Monaco,PIA,3,47,48,HARD,24.8,4.9753,16.8311,-0.5600,1
Monaco,PIA,5,47,48,HARD,24.8,5.4225,17.6366,-0.5600,1
Monaco,RUS,1,30,31,HARD,24.8,-0.9230,2.9178,-0.5192,0
Monaco,RUS,3,30,31,HARD,24.8,0.9562,1.8795,-0.5192,1
Monaco,RUS,5,30,31,HARD,24.8,0.9212,1.3604,-0.5192,1
Monaco,SAI,1,51,52,SOFT,24.8,-0.4317,11.4637,-0.0679,1
Monaco,SAI,3,51,52,SOFT,24.8,4.6786,10.9894,-0.0679,1
Monaco,STR,1,3,4,SOFT,24.8,-0.5139,30.0040,1.3670,1
Monaco,STR,3,3,4,SOFT,24.8,0.6022,30.8420,1.3670,1
Monaco,STR,5,3,4,SOFT,24.8,0.6812,31.6800,1.3670,0
Spagna,ALB,1,12,13,HARD,22.38,7.0361,7.9730,0.6893,1
Spagna,ALB,1,28,29,HARD,22.38,6.8631,11.6976,1.2629,1
