gara,team,drv,fonte,compound,lap_start,lap_end,n,life_start,life_end,life_span,pace,disp,delta_t,n_out,vicino_ritiro,stability,information
Canada,McLaren,NOR,Race,MEDIUM,32,38,7,20,26,6,76.514,0.914,2.973,1,True,0.249,0.509
Canada,McLaren,PIA,Race,MEDIUM,32,43,10,26,35,9,76.543,0.382,1.37,3,False,0.72,0.51
Canada,McLaren,NOR,Race,MEDIUM,17,29,13,5,17,12,76.877,0.787,2.882,2,False,0.649,0.7
Canada,McLaren,PIA,Race,MEDIUM,14,28,14,6,20,14,77.085,0.692,2.907,1,False,0.843,0.745
Canada,McLaren,NOR,Race,MEDIUM,4,14,10,3,12,9,77.806,0.765,2.542,0,False,0.87,0.605
Canada,McLaren,PIA,Race,MEDIUM,3,11,7,4,10,6,77.837,0.651,2.277,3,False,0.703,0.509
Canada,Mercedes,ANT,Race,MEDIUM,55,68,14,24,37,13,74.748,0.354,1.203,0,False,1.0,0.612
Canada,Mercedes,ANT,Race,MEDIUM,47,52,6,16,21,5,74.852,0.475,1.511,1,False,0.9,0.404
Canada,Mercedes,ANT,Race,MEDIUM,33,45,11,3,14,11,75.29,0.423,1.476,3,False,0.72,0.571
Canada,Mercedes,ANT,Race,SOFT,1,30,26,8,34,26,76.009,0.728,2.563,3,False,0.627,1.0
Canada,Mercedes,RUS,Race,SOFT,1,29,26,7,32,25,76.232,0.625,2.468,1,True,0.36,1.0
Canada,Racing Bulls,LAW,Race,SOFT,53,67,14,24,37,13,76.091,0.533,2.258,2,False,0.8,0.732
Canada,Racing Bulls,LAW,Race,SOFT,32,44,12,3,14,11,77.001,0.555,1.835,2,False,0.8,0.643
Canada,Racing Bulls,LAW,Race,MEDIUM,1,29,26,4,29,25,77.859,0.676,2.86,4,False,0.678,1.0
Canada,Red Bull Racing,HAD,Race,SOFT,54,61,8,6,13,7,75.106,0.878,2.866,2,False,0.558,0.541
Canada,Red Bull Racing,VER,Race,MEDIUM,55,68,14,24,37,13,75.125,0.432,1.552,0,False,1.0,0.665
Canada,Red Bull Racing,VER,Race,MEDIUM,47,51,5,16,20,4,75.476,0.189,0.514,1,False,0.9,0.223
Canada,Red Bull Racing,HAD,Race,MEDIUM,47,51,5,16,20,4,75.575,0.525,1.377,1,False,0.9,0.352
Canada,Red Bull Racing,VER,Race,MEDIUM,33,45,12,3,14,11,75.607,0.54,1.838,3,False,0.72,0.644
Canada,Red Bull Racing,HAD,Race,MEDIUM,33,45,12,3,14,11,75.765,0.574,1.989,1,False,0.9,0.667
Canada,Red Bull Racing,VER,Race,SOFT,1,30,27,9,35,26,76.352,0.431,1.997,3,False,0.72,1.0
Canada,Red Bull Racing,HAD,Race,SOFT,1,29,26,8,33,25,76.595,0.632,2.807,4,False,0.72,1.0
Canada,Williams,SAI,Race,MEDIUM,53,67,14,23,37,14,76.416,0.562,1.91,1,False,0.9,0.732
Canada,Williams,SAI,Race,MEDIUM,46,50,5,16,20,4,76.467,0.246,0.671,1,False,0.9,0.246
Canada,Williams,SAI,Race,MEDIUM,32,44,12,3,14,11,77.0,0.98,2.558,2,False,0.457,0.668
Canada,Williams,SAI,Race,MEDIUM,4,29,25,11,35,24,77.224,0.584,2.306,5,False,0.72,1.0
Canada,Williams,ALB,Race,SOFT,1,11,7,5,11,6,78.638,0.864,2.312,0,True,0.309,0.509
Canada,Alpine,COL,Sprint,MEDIUM,2,23,22,10,31,21,76.067,0.494,2.314,1,False,0.9,0.986
Canada,Alpine,GAS,Sprint,MEDIUM,2,18,17,2,18,16,76.88,0.602,2.22,2,False,0.774,0.827
Canada,Aston Martin,STR,Sprint,SOFT,2,22,21,2,22,20,77.977,0.84,3.577,2,False,0.585,0.955
Canada,Aston Martin,ALO,Sprint,MEDIUM,2,14,13,6,18,12,78.417,0.499,1.716,0,False,1.0,0.657
Canada,Audi,HUL,Sprint,MEDIUM,2,23,22,8,29,21,77.223,0.772,2.892,2,False,0.639,0.986
Canada,Audi,BOR,Sprint,MEDIUM,2,23,22,9,30,21,77.243,0.903,4.213,1,False,0.634,0.986
Canada,Cadillac,PER,Sprint,SOFT,2,23,22,2,23,21,77.16,0.398,1.504,1,False,0.9,0.912
Canada,Cadillac,BOT,Sprint,SOFT,2,22,21,2,22,20,78.329,1.219,5.166,2,False,0.282,0.955
Canada,Ferrari,HAM,Sprint,MEDIUM,2,23,22,2,23,21,75.233,0.635,2.967,3,False,0.668,0.986
Canada,Ferrari,LEC,Sprint,MEDIUM,2,23,22,2,23,21,75.278,0.459,1.488,0,False,1.0,0.91
Canada,Haas F1 Team,BEA,Sprint,MEDIUM,2,17,16,11,26,15,77.147,0.811,3.087,5,False,0.528,0.795
Canada,Haas F1 Team,OCO,Sprint,MEDIUM,2,23,22,9,30,21,77.262,0.965,4.67,3,False,0.405,0.986
Canada,McLaren,NOR,Sprint,MEDIUM,2,23,22,2,23,21,74.93,0.348,1.372,3,False,0.72,0.892
Canada,McLaren,PIA,Sprint,MEDIUM,2,23,22,2,23,21,75.154,0.507,2.157,3,False,0.72,0.986
Canada,Mercedes,RUS,Sprint,MEDIUM,2,23,22,8,29,21,74.891,0.505,2.497,1,False,0.9,0.986
